File,# of Commits,"corr(LOC, IntraCD)","corr(LOC, InterCD)","corr(LLOC, IntraCD)","corr(LLOC, InterCD)","corr(Entities, IntraCD)","corr(Entities, InterCD)"
activemq-client/src/main/java/org/apache/activemq/jndi/LazyCreateContext.java,10,0.779,0.779,0.779,0.779,nan,nan
activemq-client/src/main/java/org/apache/activemq/jndi/ReadOnlyContext.java,17,0.75,0.643,0.75,0.643,0.976,0.94
activemq-client/src/main/java/org/apache/activemq/management/BoundaryStatisticImpl.java,9,nan,nan,nan,nan,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/BoundedRangeStatisticImpl.java,9,nan,nan,nan,nan,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/CountStatisticImpl.java,17,0.043,0.043,0.043,0.043,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/JCAConnectionPoolStatsImpl.java,10,-0.179,-0.179,-0.179,-0.179,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/JCAConnectionStatsImpl.java,10,-0.156,-0.156,-0.156,-0.156,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/JCAStatsImpl.java,9,nan,nan,nan,nan,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/JMSConnectionStatsImpl.java,13,-0.979,-0.979,-0.979,-0.979,-0.998,-0.998
activemq-client/src/main/java/org/apache/activemq/management/JMSConsumerStatsImpl.java,9,-0.316,-0.316,-0.316,-0.316,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/JMSEndpointStatsImpl.java,14,0.729,0.729,0.729,0.729,0.662,0.662
activemq-client/src/main/java/org/apache/activemq/management/JMSProducerStatsImpl.java,9,-0.316,-0.316,-0.316,-0.316,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/JMSSessionStatsImpl.java,13,0.968,0.968,0.968,0.968,0.998,0.998
activemq-client/src/main/java/org/apache/activemq/management/JMSStatsImpl.java,13,0.955,0.955,0.955,0.955,0.96,0.96
activemq-client/src/main/java/org/apache/activemq/management/PollCountStatisticImpl.java,13,-0.952,-0.952,-0.952,-0.952,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/RangeStatisticImpl.java,10,0.779,0.779,0.779,0.779,nan,nan
activemq-client/src/main/java/org/apache/activemq/management/StatisticImpl.java,15,0.928,0.928,0.928,0.928,0.942,0.942
activemq-client/src/main/java/org/apache/activemq/management/StatsImpl.java,15,-0.349,-0.349,-0.349,-0.349,-0.609,-0.609
activemq-client/src/main/java/org/apache/activemq/management/TimeStatisticImpl.java,10,0.779,0.779,0.779,0.779,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/Cache.java,13,-0.245,-0.245,-0.245,-0.245,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/CacheEntry.java,12,-0.149,-0.149,-0.149,-0.149,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/CacheEntryList.java,11,0.412,0.412,0.412,0.412,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/CacheEvictionUsageListener.java,18,0.156,0.156,0.156,0.156,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/CacheFilter.java,10,nan,nan,nan,nan,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/LRUMap.java,11,-0.356,-0.356,-0.356,-0.356,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/MapCache.java,12,-0.219,-0.219,-0.219,-0.219,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/UsageManagerCacheFilter.java,12,-0.197,-0.197,-0.197,-0.197,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/buffer/MessageBuffer.java,10,-0.429,-0.429,-0.429,-0.429,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/buffer/MessageQueue.java,10,-0.327,-0.327,-0.327,-0.327,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/buffer/OrderBasedMessageBuffer.java,9,-0.378,-0.378,-0.378,-0.378,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/buffer/SizeBasedMessageBuffer.java,10,0.309,0.309,0.309,0.309,nan,nan
activemq-broker/src/main/java/org/apache/activemq/memory/list/DestinationBasedMessageList.java,12,0.974,0.974,0.974,0.974,0.971,0.971
activemq-broker/src/main/java/org/apache/activemq/memory/list/MessageList.java,10,0.973,0.973,0.973,0.973,1.0,1.0
activemq-broker/src/main/java/org/apache/activemq/memory/list/SimpleMessageList.java,16,0.678,0.678,0.678,0.678,0.789,0.789
activemq-broker/src/main/java/org/apache/activemq/network/NetworkBridgeListener.java,8,-0.319,-0.319,-0.319,-0.319,-0.082,-0.082
activemq-broker/src/main/java/org/apache/activemq/network/DemandForwardingBridge.java,38,0.823,0.028,0.823,0.028,0.822,0.028
activemq-broker/src/main/java/org/apache/activemq/network/ForwardingBridge.java,31,0.745,0.915,0.745,0.915,0.665,0.87
activemq-broker/src/main/java/org/apache/activemq/network/NetworkConnector.java,56,0.335,0.31,0.335,0.31,0.363,0.149
activemq-broker/src/main/java/org/apache/activemq/network/jms/DestinationBridge.java,27,0.626,0.626,0.626,0.626,0.785,0.785
activemq-broker/src/main/java/org/apache/activemq/network/jms/InboundQueueBridge.java,14,0.986,0.986,0.986,0.986,0.977,0.977
activemq-broker/src/main/java/org/apache/activemq/network/jms/InboundTopicBridge.java,14,0.993,0.993,0.993,0.993,0.994,0.994
